Source	Target	MI
ENSG00000173757	HSA-MIR-423	0.161986
ENSG00000112337	HSA-MIR-20B	0.16196
ENSG00000115590	HSA-MIR-214	0.161953
ENSG00000197386	HSA-MIR-484	0.161924
ENSG00000055147	HSA-MIR-374B	0.161919
ENSG00000110852	HSA-MIR-186	0.161888
ENSG00000198721	HSA-MIR-335	0.161829
ENSG00000115091	HSA-MIR-29B-2	0.16178
ENSG00000109063	HSA-MIR-107	0.161767
ENSG00000055950	HSA-MIR-190A	0.161735
ENSG00000148832	HSA-MIR-185	0.161687
ENSG00000162692	HSA-MIR-31	0.161645
ENSG00000066855	HSA-MIR-3613	0.161631
ENSG00000143315	HSA-MIR-135A-1	0.161606
ENSG00000164919	HSA-MIR-26B	0.161573
ENSG00000148735	HSA-MIR-590	0.161555
ENSG00000124587	HSA-MIR-1301	0.161547
ENSG00000253731	HSA-MIR-23A	0.161528
ENSG00000143437	HSA-MIR-582	0.161502
ENSG00000227124	HSA-MIR-106A	0.161484
ENSG00000185664	HSA-MIR-199B	0.161476
ENSG00000142149	HSA-MIR-509-3	0.161423
ENSG00000139880	HSA-MIR-199A-1	0.161375
ENSG00000102547	HSA-MIR-200B	0.161361
ENSG00000102230	HSA-MIR-191	0.161343
ENSG00000134548	HSA-MIR-98	0.161308
ENSG00000152944	HSA-MIR-1266	0.161157
ENSG00000153029	HSA-MIR-106B	0.161129
ENSG00000213694	HSA-MIR-107	0.161081
ENSG00000135749	HSA-MIR-135B	0.161072
ENSG00000149273	HSA-MIR-1266	0.161046
ENSG00000141068	HSA-MIR-142	0.16104
ENSG00000119929	HSA-MIR-214	0.161031
ENSG00000151929	HSA-MIR-2355	0.160974
ENSG00000138100	HSA-MIR-103A-1	0.160969
ENSG00000122592	HSA-MIR-196B	0.160954
ENSG00000181873	HSA-MIR-381	0.160944
ENSG00000185252	HSA-MIR-874	0.160941
ENSG00000104529	HSA-MIR-194-1	0.16093
ENSG00000152766	HSA-MIR-708	0.160881
ENSG00000132589	HSA-MIR-653	0.160857
ENSG00000129083	HSA-MIR-25	0.160827
ENSG00000172209	HSA-MIR-34A	0.160815
ENSG00000165861	HSA-MIR-500A	0.16078
ENSG00000113812	HSA-LET-7A-2	0.160774
ENSG00000162384	HSA-MIR-22	0.160769
ENSG00000177519	HSA-MIR-1270	0.160737
ENSG00000090060	HSA-MIR-29B-2	0.160707
ENSG00000090060	HSA-MIR-29B-1	0.16068
ENSG00000021826	HSA-MIR-194-2	0.160678
ENSG00000132561	HSA-MIR-9-3	0.160613
ENSG00000134955	HSA-MIR-106B	0.160596
ENSG00000198680	HSA-MIR-331	0.16059
ENSG00000106617	HSA-MIR-483	0.160552
ENSG00000178982	HSA-MIR-660	0.160551
ENSG00000178202	HSA-MIR-501	0.160541
ENSG00000130305	HSA-MIR-590	0.160513
ENSG00000104356	HSA-MIR-1296	0.1605
ENSG00000068697	HSA-MIR-26A-1	0.160483
ENSG00000163755	HSA-MIR-25	0.160477
ENSG00000120549	HSA-MIR-503	0.160445
ENSG00000197872	HSA-MIR-1266	0.160444
ENSG00000185252	HSA-MIR-128-1	0.160436
ENSG00000140474	HSA-MIR-365B	0.160399
