Source	Target	MI
ENSG00000084710	HSA-MIR-130B	0.169976
ENSG00000139714	HSA-MIR-101-1	0.169962
ENSG00000179869	HSA-MIR-338	0.169736
ENSG00000174640	HSA-MIR-424	0.169724
ENSG00000178026	HSA-MIR-708	0.169562
ENSG00000154553	HSA-MIR-1-1	0.169548
ENSG00000132698	HSA-MIR-15A	0.169545
ENSG00000198889	HSA-MIR-15A	0.169537
ENSG00000151466	HSA-MIR-30A	0.169536
ENSG00000188277	HSA-MIR-190A	0.169528
ENSG00000102935	HSA-MIR-501	0.169387
ENSG00000198300	HSA-MIR-135B	0.169383
ENSG00000092820	HSA-MIR-190A	0.169379
ENSG00000106034	HSA-MIR-133A-2	0.169238
ENSG00000139344	HSA-MIR-505	0.169169
ENSG00000168143	HSA-MIR-139	0.169063
ENSG00000148832	HSA-MIR-505	0.169041
ENSG00000163872	HSA-MIR-145	0.168924
ENSG00000143570	HSA-MIR-708	0.168898
ENSG00000240857	HSA-MIR-1296	0.168888
ENSG00000155099	HSA-MIR-30A	0.168875
ENSG00000157212	HSA-MIR-1-2	0.168858
ENSG00000198815	HSA-MIR-501	0.168811
ENSG00000113552	HSA-MIR-92B	0.168688
ENSG00000184363	HSA-MIR-22	0.168676
ENSG00000182118	HSA-MIR-29C	0.168656
ENSG00000182827	HSA-MIR-139	0.168629
ENSG00000011347	HSA-MIR-452	0.168573
ENSG00000113657	HSA-MIR-1-1	0.168562
ENSG00000104332	HSA-MIR-31	0.168547
ENSG00000102024	HSA-MIR-9-3	0.168379
ENSG00000151135	HSA-MIR-874	0.168324
ENSG00000182253	HSA-MIR-1-1	0.168318
ENSG00000114779	HSA-MIR-3074	0.168214
ENSG00000155066	HSA-MIR-204	0.168189
ENSG00000160211	HSA-MIR-338	0.168166
ENSG00000143437	HSA-MIR-501	0.16811
ENSG00000130176	HSA-MIR-143	0.167926
ENSG00000133477	HSA-MIR-203B	0.167792
ENSG00000137700	HSA-MIR-130A	0.167781
